image_id,n_citi,bed,bath,sqft,price,image_path
1,48,3,2,713,228500,data/train_images/1.jpg
4,55,4,3,2547,385100,data/train_images/4.jpg
6,55,4,3,2769,415000,data/train_images/6.jpg
7,48,5,2,2600,545000,data/train_images/7.jpg
8,48,5,2,2600,545000,data/train_images/8.jpg
9,317,4,5,3932,690000,data/train_images/9.jpg
10,129,3,2,4044,1350000,data/train_images/10.jpg
11,122,5,5,6247,1499000,data/train_images/11.jpg
15,122,5,5,6247,1499000,data/train_images/15.jpg
16,122,3,3,4597,1550000,data/train_images/16.jpg
17,122,8,3,4236,1850000,data/train_images/17.jpg
18,367,4,1,1980,1995000,data/train_images/18.jpg
19,367,4,2,1967,249950,data/train_images/19.jpg
20,20,4,2,1573,205000,data/train_images/20.jpg
21,57,5,3,2065,249000,data/train_images/21.jpg
22,24,3,2,1087,195000,data/train_images/22.jpg
23,122,3,2,1400,229000,data/train_images/23.jpg
24,57,3,2,1533,229000,data/train_images/24.jpg
25,24,2,1,966,239900,data/train_images/25.jpg
26,122,3,2,1760,235000,data/train_images/26.jpg
27,24,3,2,1478,239900,data/train_images/27.jpg
28,24,4,3,1876,240000,data/train_images/28.jpg
29,24,3,2,1820,239990,data/train_images/29.jpg
30,24,3,2,1873,219000,data/train_images/30.jpg
31,312,3,2,1265,220000,data/train_images/31.jpg
32,99,3,1,1364,199500,data/train_images/32.jpg
33,24,3,2,1004,224990,data/train_images/33.jpg
34,367,4,3,3648,249000,data/train_images/34.jpg
35,24,3,2,1608,250000,data/train_images/35.jpg
36,312,3,2,1504,225000,data/train_images/36.jpg
38,57,5,3,2190,234900,data/train_images/38.jpg
39,312,3,2,1500,245000,data/train_images/39.jpg
40,57,3,2,1410,198000,data/train_images/40.jpg
41,196,3,2,1152,199900,data/train_images/41.jpg
42,282,3,2,1440,235000,data/train_images/42.jpg
43,122,2,2,1008,216500,data/train_images/43.jpg
44,57,3,2,1562,225000,data/train_images/44.jpg
45,282,2,1,974,210000,data/train_images/45.jpg
46,122,3,1,1440,219000,data/train_images/46.jpg
47,122,2,1,896,198500,data/train_images/47.jpg
48,24,4,3,1848,219900,data/train_images/48.jpg
